VEH_SER_NO,PREPAINT_CAB,OFFLINE,CHASSIS_LINE_2,CHASSIS_LINE_1,PREPAINT_CHASSIS,FINAL_CAB,PAINT_MGR
VQD376,0,1,0,7,3,0,0
VTU961,6,0,0,0,0,0,0
VZU602,0,1,0,0,0,0,0
WBH162,0,3,0,6,5,2,0
WBR310,0,0,0,1,0,2,0
WDM529,0,4,1,5,1,1,0
WDX548,0,1,0,0,0,0,0
WMR075,0,6,0,5,0,0,0
WQB451,0,3,0,20,0,1,0
WRD572,0,0,0,1,0,0,0
WRT608,0,5,0,3,4,0,0
WTB963,0,2,1,8,2,2,0
WXK853,0,14,1,7,10,0,0
WYP854,4,0,0,0,0,0,0
XEG792,0,6,0,0,0,0,0
XET976,0,0,0,0,6,1,0
XFK804,0,10,0,0,0,0,0
XFN395,0,4,0,18,4,1,0
XGC043,0,1,0,3,8,1,0
XGW598,0,3,0,4,0,2,0
XJI184,0,1,0,7,7,4,0
XKG621,0,0,0,4,0,0,0
XLW275,0,11,8,13,4,1,0
XOG241,5,0,0,0,0,0,0
XPQ906,0,0,0,5,3,2,0
XPR275,0,9,0,9,2,1,0
XQB475,7,0,0,0,0,0,0
XRO730,6,0,0,0,0,0,0
XSF309,0,5,2,11,0,1,0
XSZ543,0,2,3,7,6,2,0
XVO159,2,0,0,0,0,0,0
XWK825,0,5,0,4,4,1,0
XWS890,0,0,0,0,1,0,0
XWV562,0,6,0,0,0,0,0
XYI250,0,7,1,15,0,2,0
YAP829,0,1,0,5,1,1,0
YBJ023,0,7,0,5,1,0,0
YBP783,0,0,0,1,3,3,0
YCR723,0,4,1,6,0,1,0
YCU023,0,7,4,11,4,1,0
YDL247,0,9,1,14,1,2,0
YGL283,0,5,0,11,6,2,0
YHB831,0,5,0,6,2,1,0
YHP863,0,0,0,0,8,3,0
YJQ513,6,0,0,0,0,0,0
YKL520,0,3,3,6,0,0,0
YKL719,0,0,0,0,6,1,0
YKN950,0,1,0,2,1,0,0
YKZ247,0,14,0,9,0,3,0
